2020-11-30 14:42:01.676 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-30 14:42:01.676 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-30 14:42:01.685 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-30 14:42:01.685 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-30 14:42:01.894 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-30 14:42:05.377 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-11-30 14:42:05.575 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-11-30 14:42:05.605 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-11-30 14:42:05.703 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-11-30 14:42:06.055 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8004"]
2020-11-30 14:42:06.104 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8004 (http) with context path ''
2020-11-30 14:42:08.442 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-11-30 14:42:08.450 [main] INFO  com.ltz.news.FilesApplication - Started FilesApplication in 22.298 seconds (JVM running for 26.503)
2020-11-30 14:43:12.743 [http-nio-8004-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-30 14:43:12.743 [http-nio-8004-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-30 14:43:12.753 [http-nio-8004-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 10 ms
2020-11-30 14:43:12.829 [http-nio-8004-exec-2] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.UploaderServiceImpl.readInGridFS====
2020-11-30 14:43:12.894 [http-nio-8004-exec-2] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:65}] to 127.0.0.1:27017
2020-11-30 14:43:12.977 [http-nio-8004-exec-2] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：148
2020-11-30 14:43:15.450 [http-nio-8004-exec-4] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.UploaderServiceImpl.readInGridFS====
2020-11-30 14:43:18.162 [http-nio-8004-exec-6] INFO  com.ltz.news.aspect.ServiceLogAspect - ==== 开始执行 class com.ltz.news.service.impl.UploaderServiceImpl.readInGridFS====
2020-11-30 14:43:18.196 [http-nio-8004-exec-6] INFO  com.ltz.news.aspect.ServiceLogAspect - 当前执行耗时：34
